frame,object_index,tlv1_range,tlv1_angle,tlv1_elevation,tlv1_doppler,tlv1_x_derived,tlv1_y_derived,tlv1_z_derived,tlv7_snr,tlv7_noise,tlv8_x,tlv8_y,tlv8_z,tlv8_doppler,tlv9_snr,tlv9_noise,tlv11_targetID,tlv10_targetID,tlv10_x,tlv10_y,tlv10_vx,tlv10_vy,tlv10_ax,tlv10_ay,tlv10_z,tlv10_vz,tlv10_az
1,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
2,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
3,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
4,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
5,0,0.7739087343215942,-0.06459463387727737,-0.252680242061615,0.0,-0.04836929679590062,0.7477711704882076,-0.19347717377876358,190,456,,,,,-1,-1,-1,-1,,,,,,,,,
5,1,0.8442640900611877,-0.03181960806250572,-0.18861638009548187,0.0,-0.02638325341989144,0.8288709442703587,-0.15829951184444954,239,410,,,,,-1,-1,-1,-1,,,,,,,,,
5,2,0.9146194458007812,-0.03181960806250572,-0.18861638009548187,0.0,-0.02858185833721036,0.8979435375890292,-0.17149114062545465,185,423,,,,,-1,-1,-1,-1,,,,,,,,,
5,3,0.7739087343215942,0.031643882393836975,-0.15689286589622498,0.1471865475177765,0.0241846493255829,0.7640205513171002,-0.12092323582076638,164,524,,,,,-1,-1,-1,-1,,,,,,,,,
5,4,0.8442640900611877,0.03181960806250572,-0.18861638009548187,0.1471865475177765,0.02638325341989144,0.8288709442703587,-0.15829951184444954,236,466,,,,,-1,-1,-1,-1,,,,,,,,,
5,5,0.9146194458007812,0.0,-0.18861638009548187,0.1471865475177765,0.0,0.8983983077254257,-0.17149114062545465,154,487,,,,,-1,-1,-1,-1,,,,,,,,,
5,6,0.7739087343215942,0.03181960806250572,-0.18861638009548187,0.294373095035553,0.02418464850257252,0.7597983509516881,-0.14510788306344444,150,465,,,,,-1,-1,-1,-1,,,,,,,,,
5,7,0.8442640900611877,0.03181960806250572,-0.18861638009548187,0.294373095035553,0.02638325341989144,0.8288709442703587,-0.15829951184444954,201,430,,,,,-1,-1,-1,-1,,,,,,,,,
5,8,0.8442640900611877,0.0,-0.18861638009548187,-0.1471865475177765,0.0,0.8292907320817315,-0.15829951184444954,211,447,,,,,-1,-1,-1,-1,,,,,,,,,
5,9,0.9146194458007812,-0.09505889564752579,-0.15689286589622498,-0.1471865475177765,-0.08574557218780518,0.8993071578150588,-0.14290928377721052,152,469,,,,,-1,-1,-1,-1,,,,,,,,,
6,0,0.8442640900611877,0.1284555047750473,-0.22053326666355133,0.0,0.10553301355662209,0.8170293199418635,-0.18468277443183242,262,401,,,,,-1,-1,-1,-1,,,,,,,,,
6,1,0.9146194458007812,0.16082048416137695,-0.22053326666355133,0.0,0.1429092912941932,0.8809520169741228,-0.2000730088941142,219,421,,,,,-1,-1,-1,-1,,,,,,,,,
6,2,0.5628427267074585,0.22152507305145264,0.09388787299394608,0.1471865475177765,0.12312184448536423,0.5466705062711192,0.05276650444445581,151,527,,,,,-1,-1,-1,-1,,,,,,,,,
6,3,0.633198082447052,0.1894608736038208,0.09388787299394608,0.1471865475177765,0.11872463857793913,0.619128732094007,0.05936231889699662,174,531,,,,,-1,-1,-1,-1,,,,,,,,,
